 	is01	is02	is03	predicted
Retention Indices				
arginine_442 M16	0	0	0	0
arginine_442 M17	0	0	0	0
arginine_442 M18	0	0	0	0
arginine_442 M19	0	0	0	0
arginine_442 M20_Full_NC	0.002065	0.001883	0.002246	0
				
tyrosine_302 M0	0.002042	0.002105	0.002147	0.722805
tyrosine_302 M1	0.006544	0.006512	0.006572	0.188732
tyrosine_302 M2	0	0	0	0.073539
tyrosine_302 M3	0.398701	0.399166	0.398805	0.012522
tyrosine_302 M4	0.398701	0.399166	0.398805	0.002146
tyrosine_302 M5	0.163368	0.162407	0.162966	0.000237
tyrosine_302 M6	0.025593	0.025549	0.025633	2.00E-05
tyrosine_302 M7	0.004509	0.004568	0.004529	1.00E-06
tyrosine_302 M8_Full_NC	0.000541	0.000527	0.000545	0
				
tyrosine_466 M0	0	0	0	0.60282
tyrosine_466 M1	0	0	0	0.247754
tyrosine_466 M2	0	0	0	0.112016
tyrosine_466 M3	0	0	0	0.029098
tyrosine_466 M4	0.001208	0.001256	0.001268	0.006881
